id,has_contrast
0-kopia.png,1
0.png,1
0a.png,1
1-kopia.png,1
1.png,1
10-kopia.png,1
10.png,1
100.png,0
101.png,1
102.png,1
103.png,1
104.png,1
105.png,1
106.png,1
107.png,1
108.png,1
109.png,1
10a.png,1
11-kopia.png,1
11.png,1
110.png,1
111.png,1
112.png,1
113.png,1
114.png,1
115.png,1
116.png,1
117.png,1
118.png,1
119.png,1
11a.png,1
12.png,1
120.png,1
121.png,1
122.png,1
123.png,1
124.png,1
125.png,1
126.png,1
127.png,1
128.png,1
129.png,1
12a.png,1
13.png,1
130.png,1
131.png,1
132.png,1
133.png,1
134.png,1
135.png,1
136.png,1
137.png,1
138.png,1
139.png,1
13a.png,1
14.png,1
140.png,1
141.png,1
142.png,1
143.png,1
144.png,1
145.png,1
146.png,1
147.png,1
148.png,1
149.png,1
14a.png,1
15.png,1
150.png,1
151.png,1
152.png,1
153.png,1
154.png,1
155.png,1
156.png,1
157.png,1
158.png,1
159.png,1
15a.png,1
16.png,1
160.png,1
161.png,1
162.png,1
163.png,1
164.png,1
165.png,1
166.png,1
167.png,1
168.png,1
169.png,1
16a.png,1
17.png,1
170.png,1
171.png,1
172.png,1
173.png,1
174.png,1
175.png,1
176.png,1
177.png,1
178.png,1
179.png,1
17a.png,1
18.png,1
180.png,1
181.png,1
182.png,1
183.png,1
184.png,1
185.png,1
186.png,1
187.png,1
188.png,1
189.png,1
18a.png,1
19.png,1
190.png,1
191.png,1
192.png,1
193.png,1
194.png,1
195.png,1
196.png,1
197.png,1
198.png,1
199.png,1
19a.png,1
1a.png,1
2-kopia.png,1
2.png,1
20.png,1
200.png,1
201.png,1
202.png,1
203.png,1
204.png,1
205.png,1
206.png,1
207.png,1
208.png,1
209.png,1
20a.png,1
21.png,1
210.png,1
211.png,1
212.png,1
213.png,1
214.png,1
215.png,1
216.png,1
217.png,1
218.png,1
219.png,1
21a.png,1
22.png,1
220.png,1
221.png,1
222.png,1
223.png,1
224.png,1
225.png,1
226.png,1
227.png,1
228.png,1
229.png,1
22a.png,1
23.png,1
230.png,1
231.png,1
232.png,1
233.png,1
234.png,1
235.png,1
236.png,1
237.png,1
238.png,1
239.png,1
23a.png,1
24.png,1
240.png,1
241.png,1
242.png,1
243.png,1
244.png,1
245.png,1
246.png,1
247.png,1
248.png,1
249.png,1
24a.png,1
25.png,1
250.png,1
251.png,1
252.png,1
253.png,1
254.png,1
255.png,1
256.png,1
257.png,1
258.png,1
259.png,1
25a.png,1
26.png,1
260.png,1
261.png,1
262.png,1
263.png,1
264.png,1
265.png,1
266.png,1
267.png,1
268.png,1
269.png,1
26a.png,1
27.png,1
270.png,1
271.png,1
272.png,1
273.png,1
274.png,1
275.png,1
276.png,1
277.png,1
278.png,1
279.png,1
27a.png,1
28.png,1
280.png,1
281.png,1
282.png,1
283.png,1
284.png,1
285.png,1
